Manuscript_number,DOI,funder,name,fundref
es-2022-04861q,10.1021/acs.est.2c04861,grid.452948.6,University Grants Committee,501100001839
es-2022-04862m,,,,
es-2022-04873j,,,,
es-2022-048748,10.1021/acs.est.2c04874,grid.452941.f,China Scholarship Council,501100004543
es-2022-04879x,,,,
es-2022-04896g,10.1021/acs.est.2c04896,grid.418698.a,Environmental Protection Agency,100000139
es-2022-04896g,10.1021/acs.est.2c04896,grid.472551.0,US Forest Service,
es-2022-04896g,10.1021/acs.est.2c04896,grid.2865.9,United States Geological Survey,
es-2022-04903u,10.1021/acs.est.2c04903,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-04903u,10.1021/acs.est.2c04903,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-04917a,10.1021/acs.est.2c04917,grid.13985.36,The Research Council of Norway,
es-2022-04927f,10.1021/acs.est.2c04927,,,
es-2022-04943n,10.1021/acs.est.2c04943,grid.454851.9,National Research Foundation,
es-2022-04943n,10.1021/acs.est.2c04943,grid.453321.2,Public Utilities Board,
es-2022-04945q,10.1021/acs.est.2c04945,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-04957j,,,,
es-2022-049759,10.1021/acs.est.2c04975,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-049759,10.1021/acs.est.2c04975,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-04990g,,,,
es-2022-04998d,10.1021/acs.est.2c04998,grid.270680.b,European Commission,501100000780
es-2022-04999n,10.1021/acs.est.2c04999,,,
es-2022-05009t,10.1021/acs.est.2c05009,grid.19373.3f,Harbin Institute of Technology,
es-2022-05009t,10.1021/acs.est.2c05009,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-05009t,10.1021/acs.est.2c05009,grid.431093.c,National Science Foundation,
es-2022-05026n,10.1021/acs.est.2c05026,,,
es-2022-05027y,,,,
es-2022-05044r,10.1021/acs.est.2c05044,grid.419696.5,National Natural Science Foundation of China,501100001809
